./figures/train
Iterate [158]: time: 32.1918, d_loss: 0.85741496, g_loss: 4.68220854, flux: 0.00088872
Iterate [159]: time: 32.3736, d_loss: 1.25840747, g_loss: 4.88327169, flux: 0.00093905
Iterate [160]: time: 32.5541, d_loss: 2.11381054, g_loss: 4.55409765, flux: 0.00102443
Iterate [161]: time: 32.7344, d_loss: 1.90059304, g_loss: 5.68991995, flux: 0.00086090
Iterate [162]: time: 32.9152, d_loss: 1.58301723, g_loss: 4.64719963, flux: 0.00093492
Iterate [163]: time: 33.0967, d_loss: 1.32680774, g_loss: 5.40057945, flux: 0.00103687
Iterate [164]: time: 33.2781, d_loss: 1.76551330, g_loss: 7.09503889, flux: 0.00094065
Iterate [165]: time: 33.4579, d_loss: 2.55289626, g_loss: 10.90000439, flux: 0.00094607
Iterate [166]: time: 33.6381, d_loss: 1.26249409, g_loss: 3.64818025, flux: 0.00122888
Iterate [167]: time: 33.8200, d_loss: 2.41439223, g_loss: 3.52085781, flux: 0.00089218
Iterate [168]: time: 34.0010, d_loss: 1.05896723, g_loss: 4.76568842, flux: 0.00151274
Iterate [169]: time: 34.1819, d_loss: 2.27909541, g_loss: 7.07358837, flux: 0.00182853
Iterate [170]: time: 34.3627, d_loss: 1.13044119, g_loss: 4.91027975, flux: 0.00179209
Iterate [171]: time: 34.5426, d_loss: 1.11459851, g_loss: 4.54692030, flux: 0.00136027
Iterate [172]: time: 34.7234, d_loss: 1.03589809, g_loss: 6.05524397, flux: 0.00140062
Iterate [173]: time: 34.9033, d_loss: 0.90490270, g_loss: 6.02646065, flux: 0.00152870
Iterate [174]: time: 35.0832, d_loss: 1.23559487, g_loss: 7.17452288, flux: 0.00166939
Iterate [175]: time: 35.2641, d_loss: 0.98061568, g_loss: 4.40180016, flux: 0.00188036
Iterate [176]: time: 35.4446, d_loss: 1.03581023, g_loss: 3.87803125, flux: 0.00185098
Iterate [177]: time: 35.6250, d_loss: 0.94658995, g_loss: 15.03625488, flux: 0.00127426
Iterate [178]: time: 35.8065, d_loss: 1.05756176, g_loss: 6.24041080, flux: 0.00177830
Iterate [179]: time: 35.9869, d_loss: 0.56539679, g_loss: 7.41497707, flux: 0.00177635
Iterate [180]: time: 36.1673, d_loss: 0.64805233, g_loss: 5.87355423, flux: 0.00270025
Iterate [181]: time: 36.3477, d_loss: 0.79283595, g_loss: 4.79145575, flux: 0.00216796
Iterate [182]: time: 36.5281, d_loss: 0.70416641, g_loss: 6.18734694, flux: 0.00255756
Iterate [183]: time: 36.7088, d_loss: 1.99273515, g_loss: 4.03691864, flux: 0.00215233
Iterate [184]: time: 36.8892, d_loss: 0.93117058, g_loss: 5.33030367, flux: 0.00204278
Iterate [185]: time: 37.0696, d_loss: 0.97820723, g_loss: 5.76545238, flux: 0.00184812
Iterate [186]: time: 37.2497, d_loss: 1.72984791, g_loss: 6.93478823, flux: 0.00190332
Iterate [187]: time: 37.4303, d_loss: 0.72599196, g_loss: 3.95918989, flux: 0.00130413
Iterate [188]: time: 37.6110, d_loss: 2.19059372, g_loss: 3.19545293, flux: 0.00098288
Iterate [189]: time: 37.7912, d_loss: 1.30563462, g_loss: 4.40512085, flux: 0.00102157
Iterate [190]: time: 37.9720, d_loss: 1.30983686, g_loss: 9.09778023, flux: 0.00070373
Iterate [191]: time: 38.1528, d_loss: 1.27264452, g_loss: 4.58637667, flux: 0.00099883
Iterate [192]: time: 38.3326, d_loss: 1.48380363, g_loss: 4.64977932, flux: 0.00090838
Iterate [193]: time: 38.5130, d_loss: 0.84207284, g_loss: 5.25342798, flux: 0.00107371
Iterate [194]: time: 38.6950, d_loss: 0.48851544, g_loss: 5.39377117, flux: 0.00116344
Iterate [195]: time: 38.8759, d_loss: 0.99544418, g_loss: 7.13785028, flux: 0.00035226
Iterate [196]: time: 39.0563, d_loss: 1.50638461, g_loss: 5.97427320, flux: 0.00056897
Iterate [197]: time: 39.2363, d_loss: 0.82554460, g_loss: 4.77635336, flux: 0.00071764
Iterate [198]: time: 39.4162, d_loss: 0.76205170, g_loss: 4.14778900, flux: 0.00088742
Iterate [199]: time: 39.5971, d_loss: 0.67284125, g_loss: 7.09435415, flux: 0.00060874
Iterate [200]: time: 39.7777, d_loss: 1.76891398, g_loss: 6.02836323, flux: 0.00065963
Iterate [201]: time: 39.9583, d_loss: 0.63003111, g_loss: 3.83765697, flux: 0.00089530
Iterate [202]: time: 40.1396, d_loss: 1.25901234, g_loss: 4.27420187, flux: 0.00084328
Iterate [203]: time: 40.3213, d_loss: 0.73416305, g_loss: 7.49110508, flux: 0.00063465
Iterate [204]: time: 40.5018, d_loss: 0.57699966, g_loss: 5.91821814, flux: 0.00116314
Iterate [205]: time: 40.6827, d_loss: 0.77664089, g_loss: 4.45469952, flux: 0.00083938
Iterate [206]: time: 40.8631, d_loss: 0.69636273, g_loss: 3.97697783, flux: 0.00078407
Iterate [207]: time: 41.0433, d_loss: 0.50614822, g_loss: 5.85134935, flux: 0.00092282
Iterate [208]: time: 41.2238, d_loss: 1.04707885, g_loss: 5.08264017, flux: 0.00099884
Iterate [209]: time: 41.4047, d_loss: 0.64140773, g_loss: 4.63081312, flux: 0.00091741
Iterate [210]: time: 41.5855, d_loss: 1.35865223, g_loss: 4.98420334, flux: 0.00077635
Iterate [211]: time: 41.7671, d_loss: 0.54291326, g_loss: 4.91968966, flux: 0.00075201
Iterate [212]: time: 41.9472, d_loss: 1.26994753, g_loss: 4.37885761, flux: 0.00076021
Iterate [213]: time: 42.1292, d_loss: 0.66847765, g_loss: 5.39376831, flux: 0.00084169
Iterate [214]: time: 42.3098, d_loss: 1.10560346, g_loss: 4.66213703, flux: 0.00060512
