Iterate [129]: time: 27.3817, d_loss: 1.77525318, g_loss: 6.30562258
Iterate [130]: time: 27.5655, d_loss: 1.66813219, g_loss: 6.91399240
Iterate [131]: time: 27.7494, d_loss: 1.38856721, g_loss: 7.05229855
Iterate [132]: time: 27.9329, d_loss: 1.67398787, g_loss: 6.13839006
Iterate [133]: time: 28.1171, d_loss: 1.44129753, g_loss: 9.04564762
Iterate [134]: time: 28.3027, d_loss: 1.44868696, g_loss: 7.92830753
Iterate [135]: time: 28.4868, d_loss: 1.62733221, g_loss: 8.44764423
Iterate [136]: time: 28.6711, d_loss: 1.62056100, g_loss: 6.07699537
Iterate [137]: time: 28.8551, d_loss: 1.33752298, g_loss: 10.36691570
Iterate [138]: time: 29.0389, d_loss: 1.42771792, g_loss: 16.80655289
Iterate [139]: time: 29.2230, d_loss: 1.39401102, g_loss: 7.86206293
Iterate [140]: time: 29.4073, d_loss: 1.43740165, g_loss: 9.46373177
Iterate [141]: time: 29.5917, d_loss: 1.49397576, g_loss: 9.71315289
Iterate [142]: time: 29.7758, d_loss: 1.58805847, g_loss: 8.60479355
Iterate [143]: time: 29.9595, d_loss: 1.67756677, g_loss: 13.85146618
Iterate [144]: time: 30.1439, d_loss: 1.77858341, g_loss: 8.95360088
Iterate [145]: time: 30.3288, d_loss: 1.40643334, g_loss: 6.18668365
Iterate [146]: time: 30.5134, d_loss: 1.37853968, g_loss: 6.29533291
Iterate [147]: time: 30.6974, d_loss: 1.35500789, g_loss: 15.56958675
Iterate [148]: time: 30.8817, d_loss: 1.90864992, g_loss: 11.56945896
Iterate [149]: time: 31.0661, d_loss: 1.28664327, g_loss: 13.13319874
Iterate [150]: time: 31.2499, d_loss: 1.54298544, g_loss: 8.44790936
Iterate [151]: time: 31.4341, d_loss: 1.43821764, g_loss: 7.03200769
Iterate [152]: time: 31.6181, d_loss: 1.37567163, g_loss: 5.79209518
Iterate [153]: time: 31.8022, d_loss: 1.37446356, g_loss: 9.34508514
Iterate [154]: time: 31.9862, d_loss: 1.42343593, g_loss: 7.46969223
Iterate [155]: time: 32.1708, d_loss: 1.35368478, g_loss: 14.55995083
Iterate [156]: time: 32.3553, d_loss: 1.41088748, g_loss: 13.68821239
Iterate [157]: time: 32.5400, d_loss: 1.40698636, g_loss: 15.04376030
Iterate [158]: time: 32.7245, d_loss: 1.48426342, g_loss: 15.75388527
Iterate [159]: time: 32.9090, d_loss: 1.30904150, g_loss: 6.10152149
Iterate [160]: time: 33.0929, d_loss: 1.61555326, g_loss: 5.53093863
Iterate [161]: time: 33.2772, d_loss: 1.49191737, g_loss: 6.84562922
Iterate [162]: time: 33.4617, d_loss: 1.34471178, g_loss: 5.78822613
Iterate [163]: time: 33.6460, d_loss: 1.47109127, g_loss: 6.71554756
Iterate [164]: time: 33.8307, d_loss: 1.73634708, g_loss: 5.77888680
Iterate [165]: time: 34.0154, d_loss: 1.38566589, g_loss: 6.91047192
Iterate [166]: time: 34.1994, d_loss: 1.39926481, g_loss: 5.96311998
Iterate [167]: time: 34.3834, d_loss: 1.32274902, g_loss: 7.94319057
Iterate [168]: time: 34.5684, d_loss: 1.76017916, g_loss: 23.71385765
Iterate [169]: time: 34.7525, d_loss: 1.40847027, g_loss: 6.58085251
Iterate [170]: time: 34.9369, d_loss: 1.52883458, g_loss: 6.94212866
Iterate [171]: time: 35.1213, d_loss: 1.41104543, g_loss: 7.05858994
Iterate [172]: time: 35.3058, d_loss: 1.39805770, g_loss: 6.14162159
Iterate [173]: time: 35.4894, d_loss: 1.29341125, g_loss: 8.56828976
Iterate [174]: time: 35.6731, d_loss: 1.37038302, g_loss: 7.52086926
Iterate [175]: time: 35.8571, d_loss: 1.39309967, g_loss: 8.13186455
Iterate [176]: time: 36.0414, d_loss: 1.29604077, g_loss: 6.61309147
Iterate [177]: time: 36.2248, d_loss: 1.35778761, g_loss: 6.26408052
Iterate [178]: time: 36.4091, d_loss: 1.42582929, g_loss: 4.85647106
Iterate [179]: time: 36.5939, d_loss: 1.37986159, g_loss: 5.29375982
Iterate [180]: time: 36.7785, d_loss: 1.47207069, g_loss: 15.18725395
Iterate [181]: time: 36.9623, d_loss: 1.41213202, g_loss: 5.59815264
